"event_id","year","longitude","latitude","fatalities","event_type"
2629,1990,3.691227,36.147656,1,"state-based"
5751,1991,6.883333,33.333333,3,"state-based"
2587,1991,3.050556,36.763056,4,"state-based"
4216,1991,7.25,33.166667,10,"state-based"
3160,1991,6.8,33.483333,17,"state-based"
2676,1992,3.050556,36.763056,2,"state-based"
4118,1992,3.050556,36.763056,1,"state-based"
4477,1992,1.967897,36.264055,2,"state-based"
5455,1992,2.4475,36.589722,2,"state-based"
2286,1992,1.967897,36.264055,1,"state-based"
4114,1992,3,28,31,"state-based"
4290,1992,3.087832,36.606366,1,"state-based"
5129,1992,3.717296,36.743276,2,"state-based"
2715,1992,3.050556,36.763056,6,"state-based"
1568,1992,2.753926,36.264169,2,"state-based"
6099,1992,2.912142,36.574125,2,"state-based"
6540,1992,3.016667,36.766667,2,"state-based"
3704,1992,-0.6,35.683333,2,"state-based"
1756,1992,3.666667,36.75,1,"state-based"
4936,1992,2.753926,36.264169,1,"state-based"
6268,1992,2.749048,35.888887,1,"state-based"
6129,1992,3.052679,36.744526,1,"state-based"
1632,1992,3.050556,36.763056,2,"state-based"
1942,1992,-1.315,34.878333,1,"state-based"
4657,1992,3.087845,36.728291,2,"state-based"
2257,1992,6.614722,36.365,1,"state-based"
5883,1992,3.593296,36.564634,1,"state-based"
5724,1992,2.827699,36.470039,1,"state-based"
5017,1992,3.050556,36.763056,3,"state-based"
2283,1992,3.666667,36.75,2,"state-based"
2260,1992,3.009167,36.577222,1,"state-based"
4183,1992,3.916667,36.25,4,"state-based"
2410,1992,6.614722,36.365,1,"state-based"
5454,1992,2.827699,36.470039,2,"state-based"
3776,1992,3.087845,36.728291,1,"state-based"
4870,1992,3.050556,36.763056,2,"state-based"
5921,1992,3.011483,36.817447,3,"state-based"
3892,1992,0.089177,35.931151,2,"state-based"
6173,1992,3.095055,36.717834,2,"state-based"
4666,1992,2.865143,33.8,1,"state-based"
5064,1992,1.967897,36.264055,1,"state-based"
6565,1992,3.474819,36.758965,5,"state-based"
3924,1992,3.044486,36.48679,1,"state-based"
3786,1992,3,28,3,"state-based"
5767,1992,5.736309,36.313511,1,"state-based"
2617,1992,3.050556,36.763056,0,"state-based"
3955,1992,6.614722,36.365,1,"state-based"
2281,1992,6.614722,36.365,1,"state-based"
1986,1992,3.593296,36.564634,1,"state-based"
5656,1992,3.262995,34.672787,1,"state-based"
4251,1992,2.910848,36.135161,0,"state-based"
4746,1992,2.921853,36.802768,2,"state-based"
3473,1992,5.736309,36.313511,4,"state-based"
5336,1992,3.166667,36.75,1,"state-based"
3977,1992,3.050556,36.763056,1,"state-based"
4900,1992,3.050556,36.763056,1,"state-based"
5449,1992,5.5,36.166667,1,"state-based"
2765,1992,3.124631,36.736541,1,"state-based"
4289,1992,-0.630846,35.189937,1,"state-based"
5524,1992,3.024616,36.704563,1,"state-based"
5278,1992,6.614722,36.365,1,"state-based"
4241,1992,2.9725,36.695556,10,"state-based"
3018,1992,3.096064,36.666546,1,"state-based"
2247,1992,3.087845,36.728291,1,"state-based"
2668,1992,2.910848,36.135161,1,"state-based"
5728,1992,1.967897,36.264055,1,"state-based"
3317,1992,2.827699,36.470039,8,"state-based"
5329,1992,3.182372,36.719899,1,"state-based"
4393,1992,2.827699,36.470039,1,"state-based"
5755,1992,3.913107,36.91716,3,"state-based"
5572,1992,3.916667,36.25,2,"state-based"
4892,1992,3.050556,36.763056,2,"state-based"
6292,1992,2.905278,36.518333,1,"state-based"
