"State","Year","South","StCode","StYear","PresElect","PresDemPct","LagPresDemPct","UnemPct","RepPct","IndPct","DemPct","LibPct","ModPct","ConsPct","NAME","PARTY","ELECYR","ELECTP","PresApprov","NEGPCT"
"Alabama",1980,1,1,"AL1980","1",0.4745,0.5667,8.4,14.3,23.9,61.9,16.5,40.8,42.7,"Carter",1,1976,1,30,"70"
"Alabama",1981,1,1,"AL1981","0",NA,0.4745,9.7,21.5,28.9,49.6,13.8,35.9,50.4,"Reagan",2,1980,1,60,"40"
"Alabama",1982,1,1,"AL1982","0",NA,0.4745,13.2,19.6,25.2,55.2,15,40.1,45,"Reagan",2,1980,1,40,"60"
"Alabama",1983,1,1,"AL1983","0",NA,0.4745,12.8,19,29.2,51.8,14.6,42.7,42.7,"Reagan",2,1980,1,39,"61"
"Alabama",1984,1,1,"AL1984","1",0.3828,0.4745,10.2,23.7,33.9,42.4,24.3,42.7,33,"Reagan",2,1980,1,58,"42"
"Alabama",1985,1,1,"AL1985","0",NA,0.3828,8.6,36.2,26.5,37.4,20.4,41.6,38,"Reagan",2,1984,2,55,"45"
"Alabama",1986,1,1,"AL1986","0",NA,0.3828,9.1,32.4,30.3,37.3,14.1,35.3,50.6,"Reagan",2,1984,2,62,"38"
"Alabama",1987,1,1,"AL1987","0",NA,0.3828,7.6,26,29.8,44.2,18.1,42.2,39.6,"Reagan",2,1984,2,56,"45"
"Alabama",1988,1,1,"AL1988","1",0.3986,0.3828,6.9,21.4,36.7,41.9,13.1,42.8,44.1,"Reagan",2,1984,2,56,"44"
"Alabama",1989,1,1,"AL1989","0",NA,0.3986,6.6,37.3,17.9,44.8,15,39.5,45.5,"Bush",2,1988,1,52,"48"
"Alabama",1990,1,1,"AL1990","0",NA,0.3986,6.3,31.4,31.5,37.1,13.4,41.7,44.9,"Bush",2,1988,1,48,"52"
"Alabama",1991,1,1,"AL1991","0",NA,0.3986,6.9,28.9,29.3,41.8,15.7,39.7,44.6,"Bush",2,1988,1,56,"40"
"Alabama",1992,1,1,"AL1992","1",0.4088,0.3986,6.9,29,34.6,36.4,15.4,45.9,38.7,"Bush",2,1988,1,47,"51"
"Alabama",1993,1,1,"AL1993","0",NA,0.4088,6.6,30,38.6,31.3,9.7,39.7,50.6,"Clinton",1,1992,1,31,"69"
"Alabama",1994,1,1,"AL1994","0",NA,0.4088,5.4,27.2,36.3,36.5,12.6,44.5,42.9,"Clinton",1,1992,1,31,"67"
"Alabama",1995,1,1,"AL1995","0",NA,0.4088,5.2,33.2,33.9,32.9,13.5,43,43.6,"Clinton",1,1992,1,35,"65"
"Alabama",1996,1,1,"AL1996","1",0.4316,0.4088,4.5,30.9,30,39.1,20.2,42.8,37,"Clinton",1,1992,1,34,"66"
"Alabama",1997,1,1,"AL1997","0",NA,0.4316,4.4,32,22.4,45.6,18.4,31.8,49.8,"Clinton",1,1996,2,39,"60"
"Alabama",1998,1,1,"AL1998","0",NA,0.4316,3.9,28.2,29.6,42.2,16,40.9,43.1,"Clinton",1,1996,2,55,"42"
"Alabama",2003,1,1,"AL2003","0",NA,0.4159,5.4,30.2,30,39.8,12.7,50.3,37,"GW Bush",2,2000,1,66,"32"
"Alabama",2005,1,1,"AL2005","0",NA,0.3684,3.8,NA,NA,NA,NA,NA,NA,"GW Bush",2,2004,2,50,"44"
"Alabama",2006,1,1,"AL2006","0",NA,0.3684,3.5,NA,NA,NA,NA,NA,NA,"GW Bush",2,2004,2,45,"51"
"Alabama",2007,1,1,"AL2007","0",NA,0.3684,3.5,NA,NA,NA,NA,NA,NA,"GW Bush",2,2004,2,44,"52"
"Alabama",2008,1,1,"AL2008","1",0.391090972464273,0.3684,5,NA,NA,NA,NA,NA,NA,"GW Bush",2,2004,2,42,"55"
"Alaska",1994,0,2,"AK1994","0",NA,0.434,7.5,NA,NA,NA,NA,NA,NA,"Clinton",1,1992,1,39,"54"
"Alaska",1996,0,2,"AK1996","1",0.396,0.434,7.5,NA,NA,NA,NA,NA,NA,"Clinton",1,1992,1,36,"64"
"Alaska",2005,0,2,"AK2005","0",NA,0.3677,6.9,NA,NA,NA,NA,NA,NA,"GW Bush",2,2004,2,50,"44"
"Alaska",2006,0,2,"AK2006","0",NA,0.3677,6.5,NA,NA,NA,NA,NA,NA,"GW Bush",2,2004,2,48,"48"
